"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"49","08116042","5079","2417","22","39891","39891","3568","3658","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","32665","None","None","None","None","None","Neckartenzlingen",9.233903,48.590722
"50","08116043","1467","897","40","8314","8314","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8314","None","None","None","None","None","Neidlingen",9.563641,48.579286
"51","08116046","4962","2834","95","44188","44188","12292","7869","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","24027","None","None","None","None","None","Neuffen, Stadt",9.37432,48.555671
"52","08116047","9169","4935","84","98764","98764","24951","20624","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","37882","None","15307","None","None","None","Neuhausen auf den Fildern",9.278797,48.684669
"53","08116048","2974","1965","25","25682","25682","11922","5250","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8510","None","None","None","None","None","Notzingen",9.462005,48.671109
"54","08116049","31003","14763","575","398705","398705","84307","53825","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","34567","None","None","None","None","None","None","158825","None","67181","None","None","None","Nürtingen, Stadt",9.342837,48.625961
"55","08116050","4304","2217","81","27328","27328","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","27328","None","None","None","None","None","Oberboihingen",9.366724,48.647727
"56","08116053","1409","858","20","8067","8067","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8067","None","None","None","None","None","Ohmden",9.525906,48.645302
"57","08116054","2734","1766","33","23182","23182","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","23182","None","None","None","None","None","Owen, Stadt",9.451611,48.58688
"58","08116056","10536","4953","135","97557","97557","None","29048","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","30000","None","None","None","None","None","None","None","None","19916","None","18593","None","None","None","Plochingen, Stadt",9.41695,48.713282
"59","08116058","6359","3098","47","50947","50947","None","13714","10643","None","None","None","None","None","None","None","None","None","None","None","None","None","None","13077","None","None","None","None","None","None","None","None","13513","None","None","None","None","None","Reichenbach an der Fils",9.459835,48.709743
"60","08116063","1444","899","22","8329","8329","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8329","None","None","None","None","None","Schlaitdorf",9.222445,48.604296
"61","08116068","3737","2027","49","25680","25680","4074","4411","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17195","None","None","None","None","None","Unterensingen",9.356151,48.658098
"62","08116070","7698","4065","170","63933","63933","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","63933","None","None","None","None","None","Weilheim an der Teck, Stadt",9.537362,48.615689
